Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Afghanistan,61.8078,30.9028,2,10,7
Afghanistan,65.0,33.0,1,1233,7
Afghanistan,67.8273,34.8216,2,9,7
Afghanistan,68.75,32.4167,1,52,7
Afghanistan,68.857,36.729,0,20,7
Afghanistan,68.9302,36.6736,2,8,7
Afghanistan,69.265,34.9669,2,10,7
Afghanistan,69.9204,33.3395,1,271,7
Afghanistan,70.2094,34.6714,2,20,7
Algeria,3.0,28.0,0,157,7
Algeria,4.04591,36.7118,2,10,7
Algeria,8.46667,26.4833,2,10,7
AntiguaandBarbuda,-61.8833,17.0333,0,2,7
Argentina,-57.7185,-25.2848,1,16,7
Armenia,45.0,40.0,1,194,7
Australia,115.661,-30.6765,6,10,7
Australia,115.722,-32.5269,3,10,7
Australia,115.817,-33.2569,2,10,7
Australia,115.833,-31.9333,2,101,7
Australia,136.894,-30.5552,2,8,7
Australia,138.483,-28.0,2,8,7
Australia,138.572,-35.0284,2,10,7
Australia,138.6,-34.9333,2,53,7
Australia,142.233,-35.8,1,12,7
Australia,142.7,-37.0667,1,8,7
Australia,144.467,-10.2667,2,4,7
Australia,144.967,-37.8167,2,385,7
Australia,145.2,-37.9833,1,25,7
Australia,146.033,-17.6333,2,10,7
Australia,146.405,-34.551,3,3,7
Australia,146.94,-41.49,0,11,7
Australia,148.457,-37.6964,0,2,7
Australia,148.967,-21.6333,5,20,7
Australia,149.217,-35.2833,1,1774,7
Australia,149.754,-37.559,4,12,7
Australia,150.467,-22.35,3,1,7
Australia,150.506,-23.3803,2,16,7
Australia,150.75,-33.7667,1,6,7
Australia,150.852,-34.6683,1,20,7
Australia,150.893,-34.4318,7,8,7
Australia,150.967,-33.8167,1,11,7
Australia,150.967,-33.8833,2,44,7
Australia,151.15,-33.8833,2,10,7
Australia,151.201,-33.8652,1,254,7
Australia,151.217,-33.8833,1,2424,7
Australia,151.954,-27.5606,3,10,7
Australia,152.831,-31.079,2,10,7
Australia,153.017,-27.5333,2,18,7
