Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Albania,19.5614,40.6136,-1,8,-5
Armenia,45.0,40.0,-4,8,-2
Australia,144.967,-37.8167,-1,16,-3
Australia,145.46,-14.6668,-2,4,-2
Australia,148.922,-20.1167,0,10,-4
Australia,148.967,-21.6333,0,10,-2
Australia,149.217,-35.2833,0,116,-5
Australia,151.217,-33.8833,0,34,-4
Australia,151.3,-33.7333,-4,50,-2
Australia,151.318,-33.6318,-2,20,-3
Australia,151.954,-27.4634,0,2,-4
Australia,151.954,-27.5606,0,8,-4
Australia,153.217,-27.75,-2,12,-2
Bahamas,-78.7,26.5333,-1,4,-6
Belgium,4.33333,50.8333,-5,16,-10
Belize,-87.8333,18.15,0,30,-4
Bolivia,-65.7531,-19.5836,-6,5,-2
Brazil,-43.2333,-22.9,-4,310,-5
Brazil,-55.0,-10.0,-4,136,-7
Cambodia,103.013,11.3336,-4,500,-10
Cambodia,103.25,12.0,-2,5,-10
Canada,-102.467,51.2167,0,552,-2
Canada,-110.683,50.0333,0,10,-10
Canada,-111.383,56.7333,-1,21,-2
Canada,-114.083,51.0833,-2,252,-7
Canada,-116.183,51.4333,0,36,-2
Canada,-68.5667,70.45,-1,1,-6
Canada,-72.0,47.5,0,70,-4
Canada,-78.0,40.0,-3,2,-10
Canada,-78.0,43.6667,-1,20,-5
China,103.422,34.583,-2,4,-5
China,116.388,39.9289,-1,166,-4
China,121.271,31.1761,0,5,-2
China,123.792,40.7703,-5,10,-5
Colombia,-72.0,4.0,-3,12,-4
Congo,15.0,-1.0,-6,10,-4
Cyprus,33.0,35.0,2,5,-10
Denmark,10.0,56.0,-1,5,-4
ElSalvador,-88.9167,13.8333,-3,30,-10
Germany,9.0,51.0,-3,89,-5
Honduras,-87.2167,14.1,-5,1123,-9
Honduras,-87.3667,13.7667,-5,237,-10
Honduras,-87.95,15.6167,-4,7,-10
Hungary,18.1921,46.236,-4,40,-6
Hungary,20.0,47.0,0,5,-4
Iceland,-21.0,63.9333,-2,10,-5
India,73.3,18.1667,0,6,-10
India,73.4,19.25,-2,3,-10
India,75.7667,23.1833,-7,4,-2
India,76.0,13.5,-2,7,-10
India,76.6667,33.9167,1,10,-5
India,76.6833,9.33333,-1,3,-5
India,77.0,20.0,0,57,-3
India,77.6833,19.85,-1,10,-10
India,85.5167,25.1833,-1,4,-6
India,96.4667,27.4667,-3,10,-4
Indonesia,105.167,-2.06667,0,10,-4
Indonesia,106.829,-6.17444,-5,8,-7
Indonesia,109.183,1.61667,-3,30,-5
Indonesia,114.0,1.0,-4,10,-5
Indonesia,99.0,2.0,0,7,-7
Italy,12.8333,42.8333,-3,3,-10
Kenya,36.7768,-1.85238,-4,8,-10
Kenya,36.8167,-1.28333,-3,37,-6
Kenya,36.8333,-1.16667,-5,5,-2
Kenya,37.0728,0.016667,-4,10,-6
Latvia,24.1,56.95,0,14,-4
Liberia,-9.5,6.5,-1,10,-10
Libya,21.85,32.8304,-3,2,-10
Malawi,33.7833,-13.9833,-7,5,-9
Malaysia,116.072,5.9749,0,3,-2
Malta,14.5147,35.8997,-2,3,-2
Mexico,-102.0,23.0,-1,2055,-4
Mexico,-103.467,25.3667,-3,6,-2
Mexico,-113.3,31.6667,-5,2,-10
Mexico,-114.767,32.7,-1,8,-4
Mexico,-96.9167,19.5333,-1,20,-4
Micronesia,158.25,6.9167,-3,215,-4
Nepal,86.75,27.7833,0,8,-5
Nepal,86.9245,27.9884,0,2,-5
Nigeria,3.39583,6.45306,0,5,-2
Nigeria,5.10393,6.26566,-6,6,-5
NorthKorea,125.755,39.0194,-6,11,-10
Norway,10.75,59.9167,-8,10,-2
Pakistan,70.0,30.0,0,9,-4
Panama,-80.0,9.0,-2,5,-2
PapuaNewGuinea,147.0,-6.0,-3,8,-10
Peru,-77.05,-12.05,-2,279,-2
Philippines,120.982,14.6042,-6,10,-4
SolomonIslands,156.528,-7.91746,-3,3,-7
SouthAfrica,28.5162,-28.4725,-2,2,-4
SouthAfrica,31.0172,-28.1715,-3,30,-2
SouthAfrica,31.0907,-28.6207,-3,5,-10
SouthAfrica,31.5,-23.8333,-6,10,-7
SouthKorea,126.916,35.1547,-3,10,-4
Spain,-15.5,28.0,-1,8,-7
Spain,-3.68333,40.4,-3,29,-7
Spain,-4.0,40.0,-3,48,-6
Spain,-9.4,38.6667,-4,8,-2
SriLanka,80.0359,6.6525,-2,1,-2
SriLanka,81.291,8.4854,-1,91,-3
Sweden,18.05,59.3333,0,2,-2
Syria,38.0,35.0,-5,8,-2
Taiwan,119.0,24.0,0,7,-2
Taiwan,121.541,22.0511,-3,4,-4
Tanzania,33.9833,-2.68333,-8,107,-6
Tanzania,35.0,-6.0,-6,161,-5
Tanzania,39.8333,-4.96667,0,5,-7
Thailand,100.274,13.5475,-2,10,-6
Thailand,98.3833,7.83333,-2,19,-8
Uganda,31.7591,2.16002,-5,10,-10
Ukraine,30.8607,46.5625,-4,2,-5
Ukraine,34.1108,44.9572,-3,6,-5
UnitedKingdom,-5.54778,50.1136,2,6,-10
UnitedStates,-100.406,32.471,-1,8,-5
UnitedStates,-105.339,45.2908,1,10,-2
UnitedStates,-105.651,45.3833,-2,20,-2
UnitedStates,-105.66,40.255,0,4,-2
UnitedStates,-106.036,42.7173,-2,3,-5
UnitedStates,-107.209,42.7475,-1,574,-2
UnitedStates,-109.868,37.63,0,24,-2
UnitedStates,-110.584,43.9166,2,4,-2
UnitedStates,-112.139,36.0544,0,8,-9
UnitedStates,-112.677,33.3481,-1,494,-2
UnitedStates,-114.322,34.4839,-2,10,-2
UnitedStates,-116.35,46.0485,0,10,-10
UnitedStates,-117.122,38.4199,-3,985,-7
UnitedStates,-118.327,34.0983,0,10,-10
UnitedStates,-118.526,34.2747,-2,88,-8
UnitedStates,-119.746,36.17,-1,1116,-5
UnitedStates,-120.857,35.2122,0,11,-4
UnitedStates,-121.021,39.4346,-1,6,-6
UnitedStates,-121.782,42.2249,-3,10,-4
UnitedStates,-121.901,36.8,0,14,-10
UnitedStates,-122.127,44.5672,-3,1999,-6
UnitedStates,-122.236,48.5039,-5,10,-10
UnitedStates,-122.607,42.0749,-2,10,-5
UnitedStates,-123.248,39.7929,-2,4,-10
UnitedStates,-123.674,41.0504,-10,2,-2
UnitedStates,-134.083,56.6667,0,3,-4
UnitedStates,-157.531,21.1098,-1,30,-3
UnitedStates,-158.009,21.3867,-5,20,-3
UnitedStates,-69.3977,44.6074,0,101,-5
UnitedStates,-71.1164,42.3784,-2,3,-7
UnitedStates,-71.1495,42.2793,-1,8,-5
UnitedStates,-71.5314,42.2373,-4,26,-3
UnitedStates,-72.4262,41.0648,-4,1,-5
UnitedStates,-72.5898,42.1015,0,3,-10
UnitedStates,-72.7093,44.0407,1,34,-10
UnitedStates,-72.7995,40.8668,-3,23,-3
UnitedStates,-73.2821,41.4201,-1,16,-4
UnitedStates,-73.8243,40.9601,-5,88,-5
UnitedStates,-74.0282,40.6968,0,2,-4
UnitedStates,-74.9384,42.1497,0,2083,-5
UnitedStates,-75.1638,39.9523,0,20,-8
UnitedStates,-75.9922,40.6409,-2,2,-10
UnitedStates,-76.7902,39.0724,-1,44,-4
UnitedStates,-77.0003,38.889,-6,10,-10
UnitedStates,-77.025,38.8862,-3,11,-3
UnitedStates,-77.264,40.5773,-1,283,-5
UnitedStates,-78.6664,39.6668,-1,30,-2
UnitedStates,-81.717,27.8333,-1,113,-5
UnitedStates,-81.8332,29.9997,0,24,-2
UnitedStates,-81.9498,28.0395,-2,6,-2
UnitedStates,-84.3052,30.2335,0,41,-4
UnitedStates,-84.6514,37.669,-1,18,-8
UnitedStates,-84.8666,35.1501,1,3,-5
UnitedStates,-84.9516,37.6504,-3,3,-10
UnitedStates,-87.6501,41.85,0,15,-2
UnitedStates,-88.2315,43.0117,0,5,-2
UnitedStates,-88.8334,40.4834,0,2,-4
UnitedStates,-89.0022,40.3363,2,6,-2
UnitedStates,-89.6385,44.2563,0,30,-4
UnitedStates,-92.302,38.4623,-3,18,-3
UnitedStates,-92.8024,42.8958,-1,10,-10
UnitedStates,-93.214,42.0046,0,23,-3
UnitedStates,-95.3633,29.7633,-3,10,-2
UnitedStates,-96.9247,35.5376,-3,28,-3
UnitedStates,-97.4836,29.4502,0,2,-5
Zambia,30.4167,-15.6167,-1,5,-10
Zimbabwe,31.0447,-17.8178,-2,40,-9
Antarctica,32.3438,-85.6221,0,2,-2
Argentina,-65.0385,-42.7692,-5,10,-2
Argentina,-71.4094,-41.1162,-3,2,-5
Australia,117.25,-33.0667,-2,8,-4
Australia,118.3,-21.25,-1,10,-10
Australia,130.87,-12.3608,-3,4,-2
Australia,133.333,-23.75,-2,30,-4
Australia,145.567,-41.0333,-5,10,-4
Australia,146.011,-17.5758,0,5,-5
Australia,146.16,-42.95,1,10,-6
Australia,146.3,-34.4167,0,20,-10
Australia,148.067,-19.8833,0,120,-4
Australia,149.225,-21.075,0,56,-4
Australia,151.35,-23.9333,0,10,-4
Bangladesh,88.7109,25.7484,-1,1,-4
Bangladesh,89.1354,21.8745,-2,8,-2
Bangladesh,90.5167,23.5333,-1,1,-4
Bolivia,-67.3167,-18.9167,-4,2,-2
Bolivia,-68.15,-16.5,-3,2733,-3
Botswana,24.0,-22.0,-5,7,-7
Botswana,24.9833,-20.05,-4,5,-2
Bulgaria,23.1667,41.8,-6,2,-9
Cambodia,105.0,13.0,-3,19,-10
Cambodia,106.019,12.4881,-1,10,-10
Canada,-115.0,55.0,-2,2,-10
Canada,-115.667,51.15,0,4,-2
Canada,-117.283,56.2333,-2,10,-5
Canada,-120.233,55.7667,1,6,-2
Canada,-123.133,49.25,-2,16,-4
Canada,-123.233,49.3,-1,16,-5
Canada,-123.75,49.1667,-4,8,-2
Canada,-123.917,49.15,-4,2,-2
Canada,-125.833,49.6667,-1,9,-5
Canada,-128.7,54.0,-1,6,-6
Canada,-129.833,54.25,1,12,-2
Canada,-60.6667,45.6333,-2,20,-2
Canada,-73.5833,45.5,0,16,-6
Canada,-80.5,47.8333,-1,6,-2
Canada,-80.6667,48.7667,-1,4,-2
Canada,-95.0,60.0,-1,114,-5
Canada,-97.7167,52.15,0,72,-2
CaymanIslands,-80.6667,19.5,-1,6,-4
China,105.0,35.0,-3,270,-5
China,119.531,31.8806,-4,6,-5
China,120.471,30.1952,-1,8,-6
China,121.458,31.2222,0,78,-3
China,129.768,43.0999,0,30,-7
CookIslands,-165.817,-10.8833,-2,16,-5
CostaRica,-84.0,10.0,-5,129,-7
CostaRica,-84.8388,9.97615,-2,4,-5
Cuba,-82.3642,23.1319,-1,3,-10
Ecuador,-76.8828,0.084722,-1,20,-10
Finland,24.4167,63.2167,-6,5,-4
France,5.73333,45.6333,-4,26,-4
Gabon,11.75,-1.0,-4,10,-4
Germany,13.4,52.5167,-2,22,-2
Honduras,-85.0,15.1667,-4,10,-10
Honduras,-86.5,15.0,-3,346,-7
Honduras,-88.0333,14.15,-7,16,-10
Honduras,-89.1167,14.6,-7,2,-10
HongKong,113.941,22.2614,-3,1,-2
Iceland,-18.0,65.0,-2,5,-4
India,72.8258,18.975,-3,26,-4
India,76.7575,12.8156,0,2,-2
India,77.2167,28.6667,-5,574,-3
India,77.4,23.2667,1,6,-6
India,78.0,11.0,-3,10,-5
India,79.15,10.8,3,20,-10
India,83.3,17.7,0,8,-10
Indonesia,105.933,-1.71667,-3,10,-4
Indonesia,95.5788,4.6338,-5,8,-4
Iran,47.4417,35.1172,-3,8,-5
Ireland,-8.0,53.0,0,10,-5
Israel,34.75,31.5,-1,23,-4
Israel,35.1,31.5333,-4,8,-5
Italy,12.4833,41.9,-3,10,-2
Japan,139.767,35.6667,-2,7,-4
Kenya,36.8667,-1.28333,-5,10,-4
Kenya,38.0,1.0,-4,110,-8
Madagascar,47.5167,-18.9167,5,10,-10
Malaysia,101.083,4.5841,-4,2,-4
Malaysia,117.583,5.41667,0,3,-6
Malta,14.3822,35.8614,-2,2,-2
Mexico,-99.1386,19.4342,-2,500,-2
Morocco,-7.61,33.59,0,6,-10
Myanmar,95.1,15.8333,0,32,-2
Namibia,15.0,-23.0,-4,15,-2
Netherlands,5.75,52.5,-2,78,-3
NewZealand,174.0,-41.0,-1,32,-4
NewZealand,176.833,-38.3333,6,10,-6
Nicaragua,-86.7622,12.199,-2,10,-2
Nigeria,8.0,10.0,-8,24,-6
Norway,10.0,62.0,-3,57,-7
Norway,25.5,69.45,-3,30,-10
Pakistan,67.05,24.8667,-6,10,-2
Philippines,120.55,16.45,-1,353,-4
Philippines,120.592,15.4894,-2,3,-4
Philippines,123.4,8.63333,-5,26,-8
Poland,21.0,52.25,-5,96,-2
Portugal,-8.0,39.5,0,2,-2
Russia,100.0,60.0,-1,28,-7
Russia,20.511,54.7065,-2,2,-10
SouthAfrica,18.4167,-33.9167,2,7,-2
SouthAfrica,28.2294,-25.7069,-2,7,-5
SouthAfrica,30.455,-30.7414,-3,2,-5
SouthSudan,32.7,10.0,-8,85,-10
SriLanka,81.0,7.0,-8,10,-5
Taiwan,121.0,23.5,-3,22,-7
Tanzania,39.1833,-6.16667,-5,6,-4
Tanzania,39.2833,-6.8,-10,212,-4
Thailand,100.0,15.0,-4,60,-4
Thailand,100.602,13.5333,-1,5,-2
Thailand,99.5501,14.0032,-4,14,-2
TrinidadandTobago,-61.5488,10.6811,-1,4,-2
Uganda,31.3436,1.43556,-1,16,-2
UnitedKingdom,-1.01667,53.6,-1,10,-10
UnitedKingdom,-1.36667,51.85,-4,10,-4
UnitedKingdom,-1.43333,54.3333,0,10,-2
UnitedKingdom,-1.53333,53.9833,-7,8,-10
UnitedKingdom,-2.58333,51.45,-2,8,-6
UnitedKingdom,-6.5,54.5,-1,5,-2
UnitedKingdom,0.9,51.3167,0,3,-2
UnitedStates,-100.402,44.4511,-1,9,-2
UnitedStates,-103.537,38.7333,0,24,-4
UnitedStates,-104.82,41.14,-1,1120,-2
UnitedStates,-104.985,39.7392,0,66,-4
UnitedStates,-105.327,39.0646,0,274,-4
UnitedStates,-106.651,35.0845,-2,140,-2
UnitedStates,-108.938,40.5625,0,6,-2
UnitedStates,-109.501,37.7505,-1,79,-10
UnitedStates,-110.234,44.7666,-3,4,-4
UnitedStates,-110.326,46.9048,0,117,-5
UnitedStates,-111.854,40.1135,-1,118,-5
UnitedStates,-111.892,40.8716,-1,10,-10
UnitedStates,-113.564,42.3191,-3,10,-4
UnitedStates,-114.51,44.2394,-3,1015,-4
UnitedStates,-115.137,36.175,-2,16,-7
UnitedStates,-115.818,33.3149,-2,11,-2
UnitedStates,-116.801,33.0334,0,4,-10
UnitedStates,-118.844,43.2657,-5,710,-9
UnitedStates,-119.001,43.1665,-2,67,-8
UnitedStates,-119.682,34.0186,-2,39,-3
UnitedStates,-119.772,36.7477,-1,12,-2
UnitedStates,-119.828,34.4358,-2,7,-7
UnitedStates,-120.163,46.3196,-2,6,-2
UnitedStates,-120.851,36.6166,-3,10,-4
UnitedStates,-121.494,38.5816,-2,4,-2
UnitedStates,-121.617,39.1404,-1,10,-2
UnitedStates,-121.625,38.1669,-5,10,-2
UnitedStates,-122.151,42.9415,0,5,-2
UnitedStates,-122.411,37.6305,-2,16,-10
UnitedStates,-122.444,47.2529,-4,6,-5
UnitedStates,-122.613,48.5126,-1,5,-5
UnitedStates,-123.534,38.7685,-2,10,-2
UnitedStates,-152.268,61.385,-1,75,-4
UnitedStates,-71.0598,42.3584,-2,27,-5
UnitedStates,-71.5101,41.6772,-1,10,-6
UnitedStates,-71.5653,43.4108,-1,122,-3
UnitedStates,-73.8962,40.949,-1,4,-4
UnitedStates,-73.9465,41.2745,-1,25,-4
UnitedStates,-74.5089,40.314,-4,16,-8
UnitedStates,-75.0638,42.4529,-3,2,-2
UnitedStates,-75.1704,42.3442,-2,9,-5
UnitedStates,-75.251,42.8792,-2,5,-2
UnitedStates,-76.013,36.8421,-1,5,-2
UnitedStates,-77.0178,38.8773,-2,22,-2
UnitedStates,-77.0364,38.8951,-1,2000,-4
UnitedStates,-77.4603,37.5538,1,2,-4
UnitedStates,-78.2057,37.768,0,48,-3
UnitedStates,-78.8867,33.6891,0,2,-5
UnitedStates,-78.9831,33.9168,0,11,-4
UnitedStates,-79.8431,35.6411,0,10,-10
UnitedStates,-79.9309,32.7766,-1,1,-5
UnitedStates,-80.3256,27.4467,0,2,-2
UnitedStates,-80.9337,26.7542,-3,6,-2
UnitedStates,-80.9696,38.468,-1,163,-2
UnitedStates,-81.1676,28.4825,-2,2,-2
UnitedStates,-81.4401,37.4209,0,4,-2
UnitedStates,-82.7755,40.3736,0,33,-6
UnitedStates,-84.5332,32.0502,1,10,-5
UnitedStates,-84.5603,43.3504,-1,34,-4
UnitedStates,-84.9666,34.8334,0,2,-4
UnitedStates,-86.1247,30.4105,-4,10,-2
UnitedStates,-86.2604,39.8647,-2,30,-7
UnitedStates,-87.0811,38.6625,0,2,-2
UnitedStates,-89.9367,29.1869,-2,24,-6
UnitedStates,-93.2168,29.8669,-5,2,-6
UnitedStates,-93.8943,29.7336,-2,10,-4
UnitedStates,-97.1081,32.7357,-3,2,-5
UnitedStates,-97.6475,31.106,-1,118,-5
UnitedStates,-99.4632,44.2853,-3,6,-3
UnitedStates,0.0,0.0,-2,1,-5
Vietnam,106.0,16.0,-3,62,-5
Vietnam,106.567,20.2833,-1,10,-2
Vietnam,109.167,11.8833,-4,2,-6
Albania,19.8189,41.3275,-3,20,-6
Albania,20.0,41.0,-1,4,-4
AntiguaandBarbuda,-61.8,17.05,-6,4,-4
Argentina,-58.6725,-34.5875,-3,5,-4
Australia,130.823,-12.4103,-3,6,-2
Australia,133.0,-27.0,0,454,-6
Australia,133.884,-23.6975,0,3,-2
Australia,134.0,-20.0,2,3,-2
Australia,146.833,-18.0,-1,434,-2
Australia,150.133,-26.9333,-1,70,-2
Australia,150.5,-27.5,1,10,-4
Australia,151.783,-32.9333,-3,4,-6
Australia,152.658,-26.1892,0,10,-4
Australia,152.9,-27.6167,-2,2,-4
Bahamas,-76.0,24.25,3,10,-5
Bangladesh,90.0,24.0,-4,8,-10
Belize,-75.0,15.0,-1,14,-4
Belize,-88.75,17.25,-1,10,-10
Brazil,-40.3167,-13.6667,-2,10,-10
Brazil,-40.8833,-12.4667,-5,5,-9
