Country,Longitude,Latitude,Average_Tone,Mentions,Goldstein
Afghanistan,61.8317,31.1792,-7,8,2
Afghanistan,62.2841,35.2434,-4,124,1
Afghanistan,63.6665,35.7878,-1,4,6
Afghanistan,64.1176,31.5211,-6,12,6
Afghanistan,64.2932,35.6875,-4,5,-5
Afghanistan,64.4696,32.4031,-4,16,6
Afghanistan,64.5053,31.4088,-2,6,7
Afghanistan,65.0,33.0,-4,40139,0
Afghanistan,65.3365,31.4964,-2,10,2
Afghanistan,65.352,34.6292,-3,4,5
Afghanistan,65.6005,31.4017,-8,57,0
Afghanistan,65.8733,32.6268,-5,59,-1
Afghanistan,65.8776,32.4158,-7,13,-6
Afghanistan,65.9325,36.2154,-5,20,3
Afghanistan,66.0074,32.0805,-1,10,7
Afghanistan,66.195,34.9532,-4,13,0
Afghanistan,66.5581,33.6149,-3,1,2
Afghanistan,66.6362,31.1327,-4,4,6
Afghanistan,66.6369,32.4302,-7,16,2
Afghanistan,66.6734,34.0191,-3,8,-2
Afghanistan,66.8947,32.4418,-4,4,-4
Afghanistan,67.2163,31.6253,-5,54,3
Afghanistan,67.262,31.4013,0,10,1
Afghanistan,67.3346,31.4436,-6,2,3
Afghanistan,67.4241,37.2214,-2,10,1
Afghanistan,67.4381,33.1069,-5,10,7
Afghanistan,67.7755,36.7092,-1,7,-7
Afghanistan,67.8273,34.8216,-6,41,1
Afghanistan,68.2923,32.9261,-2,14,3
Afghanistan,68.3083,32.7203,-2,22,6
Afghanistan,68.4256,33.9282,0,4,3
Afghanistan,68.6433,34.4731,-6,7,7
Afghanistan,68.75,32.4167,-1,53,0
Afghanistan,68.8037,33.51,-9,6,3
Afghanistan,68.857,36.729,-6,383,0
Afghanistan,68.9364,37.189,-3,27,0
Afghanistan,69.171,33.7247,-2,12,1
Afghanistan,69.1836,34.868,-1,2,1
Afghanistan,69.2041,31.8981,-11,2,2
Afghanistan,69.265,34.9669,-4,18,1
Afghanistan,69.2717,32.5192,-4,29,0
Afghanistan,69.351,34.5436,-8,2,7
Afghanistan,69.3958,32.9752,-1,2,2
Afghanistan,69.4167,34.5,5,42,2
Afghanistan,69.4348,32.6769,-3,4,3
Afghanistan,69.5336,36.7341,-6,6,0
Afghanistan,69.6457,34.1736,0,8,2
Afghanistan,69.9204,33.3395,-3,94,3
Afghanistan,70.2094,34.6714,-5,16,3
Albania,19.5614,40.6136,0,13,-2
Albania,19.63,40.6764,-7,5,3
Albania,20.0097,40.9689,-12,42,0
Algeria,2.45757,33.6146,4,6,1
Algeria,2.86514,33.8,-5,10,-5
Algeria,3.0,28.0,-6,3362,0
Algeria,3.03916,36.7458,-3,3,1
Algeria,4.04591,36.7118,-8,15,2
Algeria,8.46667,26.4833,-6,30,-5
Angola,12.1333,-5.23333,-3,6,5
Angola,12.2,-5.55,-2,17,6
Angola,19.6485,-8.63543,-1,40,6
Angola,20.6249,-10.2592,3,5,7
Argentina,-57.0,-35.0,-4,4,-2
Argentina,-57.9545,-34.9215,-4,32,0
Argentina,-59.8843,-35.6691,-1,3,3
Argentina,-60.638,-25.5151,-2,30,3
Argentina,-61.5615,-30.944,-2,3,-10
Argentina,-62.1333,-24.6,0,16,4
Argentina,-64.1833,-31.4,1,4,-5
Argentina,-65.7333,-28.4667,-3,4,7
Argentina,-71.3014,-41.1403,-4,292,0
Armenia,43.8453,40.7942,-1,19,4
Armenia,44.0792,40.2925,-3,159,2
Armenia,44.0913,40.0994,0,18,3
Armenia,45.0,40.0,-1,1727,2
Australia,113.55,-25.5998,0,8,3
Australia,115.074,-33.9536,-7,24,3
Australia,115.499,-28.6076,-1,14,0
Australia,115.797,-31.9583,0,4,2
Australia,115.817,-33.2569,-1,604,3
Australia,115.833,-31.9333,-2,1276,2
Australia,116.168,-31.9021,0,4,3
Australia,116.557,-32.3741,0,60,2
Australia,116.589,-31.5807,0,2,1
Australia,121.333,-30.4833,-2,27,2
Australia,122.109,-16.8531,-2,170,3
Australia,123.717,-18.3,2,2,1
Australia,126.25,-17.15,1,2,2
Australia,130.834,-17.4476,-3,2,-2
Australia,136.833,-31.1998,0,3,3
Australia,136.917,-34.5,-2,1,-5
Australia,137.565,-33.0327,-2,58,1
Australia,138.233,-33.5333,-5,36,4
Australia,138.572,-35.0284,3,3,-9
Australia,138.6,-34.9333,-2,699,1
Australia,139.049,-34.7749,1,10,7
Australia,140.683,-37.7667,3,2,4
Australia,140.779,-37.8318,0,12,1
Australia,142.101,-10.2899,2,10,3
Australia,142.393,-36.2533,0,80,3
Australia,142.467,-10.7167,-6,12,7
Australia,142.488,-38.3818,-1,115,0
Australia,142.7,-37.0667,0,110,2
Australia,143.075,-38.3286,-3,14,3
Australia,143.338,-37.9527,0,267,1
Australia,143.863,-37.5627,-1,1708,2
Australia,143.888,-37.559,2,8,1
Australia,143.92,-35.7349,-4,15,2
Australia,144.042,-9.93323,2,14,3
Australia,144.354,-38.1014,-7,20,-1
Australia,144.467,-10.2667,-3,46,1
Australia,144.667,-37.8667,-2,1,2
Australia,144.683,-40.6833,0,20,3
Australia,144.743,-37.3507,0,4,1
Australia,144.967,-37.8167,-3,6229,0
Australia,145.067,-37.8333,-1,10,7
Australia,145.067,-37.9,-5,12,-2
Australia,145.083,-38.1833,-4,8,-5
Australia,145.1,-37.4667,0,21,0
Australia,145.117,-38.0333,2,10,2
Australia,145.167,-37.9667,0,17,2
Australia,145.2,-37.9833,-1,208,1
Australia,145.267,-37.85,0,102,3
Australia,145.35,-37.75,3,12,2
Australia,145.35,-41.9333,0,23,0
Australia,145.399,-36.3805,-2,136,1
Australia,145.46,-14.6668,-2,4,-2
Australia,145.494,-37.9368,-2,10,-2
Australia,145.638,-16.8198,3,8,4
Australia,145.783,-41.2667,0,2,1
